treatment,replicate,row,column,species,sp_rep,genotype,fragment,surv_time,dead
control,3,A,2,plut,1,4,8,92,0
control,3,A,10,plut,2,1,8,92,0
control,3,B,5,plut,3,5,23,92,0
control,3,B,8,plut,4,3,22,92,0
control,3,B,9,plut,5,1,6,92,0
control,3,C,5,plut,6,2,20,92,0
control,3,D,2,plut,7,4,9,92,0
control,3,D,6,plut,8,2,31,92,0
control,3,D,9,plut,9,5,8,92,0
control,3,E,5,plut,10,3,56,92,0
control,4,A,2,plut,1,5,37,92,0
control,4,A,10,plut,2,4,40,92,0
control,4,B,5,plut,3,3,24,92,0
control,4,B,8,plut,4,1,28,92,0
control,4,B,9,plut,5,2,18,92,0
control,4,C,5,plut,6,3,59,92,0
control,4,D,2,plut,7,3,43,92,0
control,4,D,6,plut,8,2,19,92,0
control,4,D,9,plut,9,4,29,92,0
control,4,E,5,plut,10,5,26,92,0
dissolved,1,A,2,plut,1,2,39,92,0
dissolved,1,A,10,plut,2,3,38,92,0
dissolved,1,B,5,plut,3,1,32,92,0
dissolved,1,B,8,plut,4,4,3,92,0
dissolved,1,B,9,plut,5,4,25,92,0
dissolved,1,C,5,plut,6,2,45,92,0
dissolved,1,D,2,plut,7,5,21,92,0
dissolved,1,D,6,plut,8,1,26,92,0
dissolved,1,D,9,plut,9,5,3,92,0
dissolved,1,E,5,plut,10,3,57,92,0
dissolved,2,A,2,plut,1,2,24,92,0
dissolved,2,A,10,plut,2,2,52,92,0
dissolved,2,B,5,plut,3,3,4,92,0
dissolved,2,B,8,plut,4,5,15,92,0
dissolved,2,B,9,plut,5,5,7,92,0
dissolved,2,C,5,plut,6,4,1,92,0
dissolved,2,D,2,plut,7,3,29,92,0
dissolved,2,D,6,plut,8,1,17,92,0
dissolved,2,D,9,plut,9,1,10,92,0
dissolved,2,E,5,plut,10,4,24,92,0
dissolved,3,A,2,plut,1,2,13,92,0
dissolved,3,A,10,plut,2,3,18,92,0
dissolved,3,B,5,plut,3,4,38,92,0
dissolved,3,B,8,plut,4,5,29,92,0
dissolved,3,B,9,plut,5,5,33,92,0
dissolved,3,C,5,plut,6,4,43,92,0
dissolved,3,D,2,plut,7,3,44,92,0
dissolved,3,D,6,plut,8,1,31,92,0
dissolved,3,D,9,plut,9,2,22,92,0
dissolved,3,E,5,plut,10,5,51,92,0
dissolved,4,A,2,plut,1,2,21,92,0
dissolved,4,A,10,plut,2,1,20,92,0
dissolved,4,B,5,plut,3,2,9,92,0
dissolved,4,B,8,plut,4,5,25,92,0
dissolved,4,B,9,plut,5,4,35,92,0
dissolved,4,C,5,plut,6,3,9,92,0
dissolved,4,D,2,plut,7,3,37,92,0
dissolved,4,D,6,plut,8,5,34,92,0
dissolved,4,D,9,plut,9,5,35,92,0
dissolved,4,E,5,plut,10,4,34,92,0
fish,1,A,2,plut,1,2,38,92,0
fish,1,A,10,plut,2,1,5,92,0
fish,1,B,5,plut,3,3,15,92,0
fish,1,B,8,plut,4,1,35,92,0
fish,1,B,9,plut,5,2,16,92,0
fish,1,C,5,plut,6,4,17,92,0
fish,1,D,2,plut,7,3,11,92,0
fish,1,D,6,plut,8,5,6,92,0
fish,1,D,9,plut,9,5,5,92,0
fish,1,E,5,plut,10,4,13,92,0
fish,2,A,2,plut,1,2,17,92,0
fish,2,A,10,plut,2,1,18,92,0
fish,2,B,5,plut,3,3,55,92,0
fish,2,B,8,plut,4,5,19,92,0
fish,2,B,9,plut,5,2,43,92,0
fish,2,C,5,plut,6,4,4,92,0
fish,2,D,2,plut,7,3,2,92,0
fish,2,D,6,plut,8,5,11,92,0
fish,2,D,9,plut,9,4,23,92,0
fish,2,E,5,plut,10,1,7,92,0
fish,3,A,2,plut,1,4,41,92,0
fish,3,A,10,plut,2,3,49,92,0
fish,3,B,5,plut,3,3,47,92,0
fish,3,B,8,plut,4,1,13,92,0
fish,3,B,9,plut,5,3,54,92,0
fish,3,C,5,plut,6,4,31,92,0
fish,3,D,2,plut,7,5,53,92,0
fish,3,D,6,plut,8,5,46,92,0
fish,3,D,9,plut,9,2,5,92,0
fish,3,E,5,plut,10,2,26,92,0
fish,4,A,2,plut,1,3,27,92,0
fish,4,A,10,plut,2,1,2,92,0
fish,4,B,5,plut,3,5,50,92,0
fish,4,B,8,plut,4,2,51,92,0
fish,4,B,9,plut,5,4,54,92,0
