Treatment,Tank,Sample,Day,NH4,NO2,NO3NO2,PO4,DOC
Fish,4,1,52,0.31,0.04,0.82,0.14,1.02
Fish,4,2,52,0.41,0.04,0.88,0.14,1.01
Control,1,1,52,0.12,0.04,0.75,0.15,1
Control,1,2,52,0.07,0.04,0.73,0.13,1.01
Control,2,1,52,0.09,0.04,0.58,0.12,1.12
Control,2,2,52,0.06,0.04,0.58,0.12,1.04
Control,3,1,52,0.12,0.03,0.68,0.12,1.12
Control,3,2,52,0.09,0.03,0.72,0.13,1.04
Control,4,1,52,0.11,0.04,0.72,0.14,1.16
Control,4,2,52,0.07,0.03,0.7,0.14,0.99
Dissolved_Fish,1,1,52,0.34,0.04,1.06,0.14,1.03
Dissolved_Fish,1,2,52,0.32,0.04,1.09,0.14,1.03
Dissolved_Fish,2,1,52,0.3,0.04,0.92,0.13,1.1
Dissolved_Fish,2,2,52,0.27,0.04,0.93,0.14,1.08
Dissolved_Fish,3,1,52,0.33,0.04,1.02,0.15,1.14
Dissolved_Fish,3,2,52,0.3,0.04,1.02,0.15,1.02
Dissolved_Fish,4,1,52,0.29,0.03,0.76,0.12,1.38
Dissolved_Fish,4,2,52,0.29,0.03,0.78,0.13,1.15
Mixed,1,1,59,0.47,0.04,1.82,0.18,1.07
Mixed,1,2,59,0.47,0.03,1.66,0.18,1.08
Mixed,2,1,59,0.36,0.04,0.86,0.18,1.17
Mixed,2,2,59,0.31,0.04,0.85,0.16,1.12
Mixed,3,1,59,0.41,0.04,0.77,0.14,1.16
Mixed,3,2,59,0.39,0.03,0.76,0.15,1.17
Mixed,4,1,59,0.35,0.03,0.63,0.13,1.57
Mixed,4,2,59,0.3,0.03,0.63,0.14,1.83
Pellets,1,1,59,0.24,0.04,0.86,0.17,1.45
Pellets,1,2,59,0.18,0.04,0.88,0.17,1.26
Pellets,2,1,59,0.17,0.03,0.78,0.16,1.27
Pellets,2,2,59,0.15,0.04,0.78,0.15,1.28
Pellets,3,1,59,0.19,0.04,0.59,0.14,1.28
Pellets,3,2,59,0.12,0.04,0.58,0.14,1.24
Pellets,4,1,59,0.25,0.04,0.58,0.14,1.44
Pellets,4,2,59,0.19,0.04,0.59,0.13,1.57
Dissolved_Coral,1,1,59,0.3,0.04,0.51,0.13,1.22
Dissolved_Coral,1,2,59,0.25,0.04,0.52,0.13,1.16
Dissolved_Coral,2,1,59,0.32,0.04,0.54,0.14,1.38
Dissolved_Coral,2,2,59,0.22,0.04,0.54,0.14,1.3
Dissolved_Coral,3,1,59,0.2,0.03,0.34,0.11,1.89
Dissolved_Coral,3,2,59,0.13,0.03,0.33,0.12,1.39
Dissolved_Coral,4,1,59,0.18,0.02,0.2,0.09,2.09
Dissolved_Coral,4,2,59,0.12,0.01,0.2,0.1,2.64
LiveFeeds,1,1,59,0.17,0.04,0.84,0.18,1.18
LiveFeeds,1,2,59,0.1,0.04,0.85,0.17,1.24
